Taxa,Taxonomy,Taxon
0860a6f2cb52e1da6ab87272f6f4fe80,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Tricholoma;s__Tricholoma_felschii;sh__SH0876603.10FU
d7ab785f6a60fb7dbfde424fb78b3c0e,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_sp
c115a30c515d22b5c1a7930e9a4441d6,Ascomycota,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscyphaceae_gen_Incertae_sedis;s__Hyaloscyphaceae_sp;sh__SH0897702.10FU
c1c250b70b2cdac6e92fed079f25831b,Ascomycota,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae
f3f139e8ae1ef70bf32dec07b97fba07,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Boletaceae;g__Boletaceae_gen_Incertae_sedis;s__Boletaceae_sp;sh__SH0944101.10FU
ddeda76f61c52dfb09138a2d8b4ce982,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_sp
64b3d24adc3c5e938d9022cca0f4e822,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes
d9afcfc5652ab4ecff62bbc268b74769,Ascomycota,k__Fungi;p__Ascomycota
5efde2f9699b7857a62e66bf92dded0e,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_guanacastense;sh__SH1306930.10FU
9801766113cfde9508fcff0dc856340a,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricaceae_gen_Incertae_sedis;s__Agaricaceae_sp;sh__SH0732744.10FU
d5b43b0a10220ddc1caf6de4931689d0,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricomycetes_ord_Incertae_sedis;f__Agaricomycetes_fam_Incertae_sedis;g__Agaricomycetes_gen_Incertae_sedis;s__Agaricomycetes_sp
34b93f3f937387cdeee3e834c6ccd537,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp
f2717a12f1e6f6970b857e9c1c37a850,Ascomycota,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pleosporales_gen_Incertae_sedis;s__Pleosporales_sp;sh__SH0789833.10FU
4fece4daf46e196877f3ecf7928f18c7,Ascomycota,k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Tuberaceae;g__Tuber;s__Tuber_lyonii;sh__SH0974388.10FU
172e9b5ff79eb167b6ebc085fadabda1,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_christenseniae;sh__SH0940202.10FU
98818176e0fbd148937390027261d59c,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
020a1017efa6fd666184c82120c918ed,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Sordariomycetes_gen_Incertae_sedis;s__Sordariomycetes_sp;sh__SH1000025.10FU
314009c605eb1e22046cf7528a7cd2a1,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenaceae;g__Arachnotheca;s__Arachnotheca_sp;sh__SH0995594.10FU
1b8ed6edac752ecbb97ea4b3bbc3886c,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp
cb9e810595817b4be590fa16ca0e85b1,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
